key	text	tooltip
#Loc;1;text/db/hkrul_duriath_skills.loc		
unit_description_historical_texts_text_hkrul_duriath	Duriath	false
unit_description_short_texts_text_hkrul_duriath	Duriath	false
character_skills_localised_description_hkrul_duriath_horse	True horses no longer, Dark Magic corrupts the finest Elven steeds and turns them into black-flanked killers.	false
character_skills_localised_name_hkrul_duriath_horse	Dark Steed	false
character_skills_localised_description_hkrul_duriath_pegasus	The corrupted Dark Pegasi fly south from the Chaos Wastes to Naggaroth's Iron Mountains to make their nests.	false
character_skills_localised_name_hkrul_duriath_pegasus	Dark Pegasus	false
character_skills_localised_description_hkrul_duriath_dragon	Secretly nurtured by Malekith, Black Dragons are enchanted with Dark Magic that corrupts and enhances.	false
character_skills_localised_name_hkrul_duriath_dragon	Black Dragon	false
character_skills_localised_description_rhox_duriath_special_1_0	Duriath Helbane, as a seasoned black ark commander, possesses an innate understanding of the intricacies of black ark growth and expansion.	false
character_skills_localised_name_rhox_duriath_special_1_0	Arkbound Mastery	false
character_skills_localised_description_rhox_duriath_special_1_1	Duriath Helbane has trained his Black Ark Corsairs to become masters of the art of deflecting arrows and projectiles with their blades. 	false
character_skills_localised_name_rhox_duriath_special_1_1	Blade-Dancing Corsairs	false
character_skills_localised_description_rhox_duriath_special_1_2	Duriath Helbane's Corsair forces are known for their ruthless and audacious raids	false
character_skills_localised_name_rhox_duriath_special_1_2	Ruthless Raider	false
character_skills_localised_description_rhox_duriath_special_1_3	Duriath Helbane's Black Ark Corsairs are masters of rapid, precision strikes.	false
character_skills_localised_name_rhox_duriath_special_1_3	Swift Corsair Assault	false
character_skills_localised_description_rhox_duriath_special_1_4	Duriath Helbane has cultivated a network of spies and informants throughout the seas, making it easier to manipulate other factions or disrupt their operations.	false
character_skills_localised_name_rhox_duriath_special_1_4	Shadowy Fleet	false
character_skills_localised_description_rhox_duriath_special_2_0	"Pour everything you have into it!"	false
character_skills_localised_name_rhox_duriath_special_2_0	Tempestuous Fury	false
character_skills_localised_description_rhox_duriath_special_0_1	Duriath Helbane's deep knowledge of the seas and navigation aids him in the campaign map.	false
character_skills_localised_name_rhox_duriath_special_0_1	Navigational Insight	false
